qsen_statement_id,source_workbook,source_sheet,source_row,qsen_domain_raw,qsen_domain_name,ksa_raw,qsen_statement_raw,qsen_statement_normalized,aacn_codes_raw,aacn_subcompetency_codes,aacn_subcompetency_count,malformed_aacn_code_count
QSEN_0054,Prelicensure Workbook.xlsx,Entry Level,59,"Teamwork and Collaboration Definition: Function effectively within nursing and inter-professional teams, fostering open communication, mutual respect, and shared decision-making to achieve quality patient care.",Teamwork and Collaboration Definition,Knowledge,Discuss effective strategies for communicating and resolving conflict,discuss effective strategies for communicating and resolving conflict,AB59: 6.1b; AE59: 6.4c,6.1b; 6.4c,2,0
QSEN_0055,Prelicensure Workbook.xlsx,Entry Level,60,"Teamwork and Collaboration Definition: Function effectively within nursing and inter-professional teams, fostering open communication, mutual respect, and shared decision-making to achieve quality patient care.",Teamwork and Collaboration Definition,Knowledge,Describe examples of the impact of team functioning on safety and quality of care **,describe examples of the impact of team functioning on safety and quality of care,"Z60: 5.2b; AC60: 6.2a, 6.2e, 6.2f",5.2b; 6.2a; 6.2e; 6.2f,4,0
QSEN_0056,Prelicensure Workbook.xlsx,Entry Level,61,"Teamwork and Collaboration Definition: Function effectively within nursing and inter-professional teams, fostering open communication, mutual respect, and shared decision-making to achieve quality patient care.",Teamwork and Collaboration Definition,Knowledge,Explain how authority gradients influence teamwork and patient safety,explain how authority gradients influence teamwork and patient safety,O61: 2.9b; AC61: 6.2e; AE61: 6.4a,2.9b; 6.2e; 6.4a,3,0
QSEN_0057,Prelicensure Workbook.xlsx,Entry Level,62,"Teamwork and Collaboration Definition: Function effectively within nursing and inter-professional teams, fostering open communication, mutual respect, and shared decision-making to achieve quality patient care.",Teamwork and Collaboration Definition,Knowledge,Identify system barriers and facilitators of effective team functioning**,identify system barriers and facilitators of effective team functioning,"O62: 2.9b; AC62: 6.2e, 6.2f; AF62: 7.1d; AG62: 7.2f",2.9b; 6.2e; 6.2f; 7.1d; 7.2f,5,0
QSEN_0058,Prelicensure Workbook.xlsx,Entry Level,63,"Teamwork and Collaboration Definition: Function effectively within nursing and inter-professional teams, fostering open communication, mutual respect, and shared decision-making to achieve quality patient care.",Teamwork and Collaboration Definition,Knowledge,Examine strategies for improving systems to support team functioning**,examine strategies for improving systems to support team functioning,"O63: 2.9b; AC63: 6.2a, 6.2e, 6.2f; AF63: 7.1d; AG63: 7.2f",2.9b; 6.2a; 6.2e; 6.2f; 7.1d; 7.2f,6,0
QSEN_0059,Prelicensure Workbook.xlsx,Entry Level,64,"Teamwork and Collaboration Definition: Function effectively within nursing and inter-professional teams, fostering open communication, mutual respect, and shared decision-making to achieve quality patient care.",Teamwork and Collaboration Definition,Skills,Demonstrate awareness of own strengths and limitations as a team member**,demonstrate awareness of own strengths and limitations as a team member,"D64: 1.1d; O64: 2.9d; AC64: 6.2c, 6.2d, 6.2f; AP64: 9.3d; AU64: 10.2a",1.1d; 2.9d; 6.2c; 6.2d; 6.2f; 9.3d; 10.2a,7,0
QSEN_0060,Prelicensure Workbook.xlsx,Entry Level,65,"Teamwork and Collaboration Definition: Function effectively within nursing and inter-professional teams, fostering open communication, mutual respect, and shared decision-making to achieve quality patient care.",Teamwork and Collaboration Definition,Skills,Initiate plan for self-development as a team member,initiate plan for self development as a team member,"AC65: 6.2d, 6.2e, 6.2f",6.2d; 6.2e; 6.2f,3,0
QSEN_0061,Prelicensure Workbook.xlsx,Entry Level,66,"Teamwork and Collaboration Definition: Function effectively within nursing and inter-professional teams, fostering open communication, mutual respect, and shared decision-making to achieve quality patient care.",Teamwork and Collaboration Definition,Skills,"Act with integrity, consistency and respect for differing views**",act with integrity consistency and respect for differing views,E66: 1.2e; AB66: 6.1d; AE66: 6.4b; AP66: 9.3c,1.2e; 6.1d; 6.4b; 9.3c,4,0
QSEN_0062,Prelicensure Workbook.xlsx,Entry Level,67,"Teamwork and Collaboration Definition: Function effectively within nursing and inter-professional teams, fostering open communication, mutual respect, and shared decision-making to achieve quality patient care.",Teamwork and Collaboration Definition,Skills,Function competently within own scope of practice as a member of the health care team**,function competently within own scope of practice as a member of the health care team,D67: 1.1d; L67: 2.6c; AB67: 6.1a; AC67: 6.2c; AD67: 6.3b; AP67: 9.3h,1.1d; 2.6c; 6.1a; 6.2c; 6.3b; 9.3h,6,0
QSEN_0063,Prelicensure Workbook.xlsx,Entry Level,68,"Teamwork and Collaboration Definition: Function effectively within nursing and inter-professional teams, fostering open communication, mutual respect, and shared decision-making to achieve quality patient care.",Teamwork and Collaboration Definition,Skills,Assume role of team member or leader based on the situation**,assume role of team member or leader based on the situation,"L68: 2.6c; AC68: 6.2b, 6.2c, 6.2e; AD68: 6.3b; AV68: 10.3c",2.6c; 6.2b; 6.2c; 6.2e; 6.3b; 10.3c,6,0
QSEN_0064,Prelicensure Workbook.xlsx,Entry Level,69,"Teamwork and Collaboration Definition: Function effectively within nursing and inter-professional teams, fostering open communication, mutual respect, and shared decision-making to achieve quality patient care.",Teamwork and Collaboration Definition,Skills,Initiate requests for help when appropriate to situation,initiate requests for help when appropriate to situation,"L69: 2.6c; O69: 2.9c, 2.9d; AC69: 6.2e",2.6c; 2.9c; 2.9d; 6.2e,4,0
QSEN_0065,Prelicensure Workbook.xlsx,Entry Level,70,"Teamwork and Collaboration Definition: Function effectively within nursing and inter-professional teams, fostering open communication, mutual respect, and shared decision-making to achieve quality patient care.",Teamwork and Collaboration Definition,Skills,Clarify roles and accountabilities under conditions [Guide the team in managing areas] of potential overlap in team member functioning**,clarify roles and accountabilities under conditions guide the team in managing areas of potential overlap in team member functioning,"L70: 2.6c; O70: 2.9c; AB70: 6.1a; AC70: 6.2a, 6.2b, 6.2c, 6.2e, 6.2f; AD70: 6.3a, 6.3b",2.6c; 2.9c; 6.1a; 6.2a; 6.2b; 6.2c; 6.2e; 6.2f; 6.3a; 6.3b,10,0
QSEN_0066,Prelicensure Workbook.xlsx,Entry Level,71,"Teamwork and Collaboration Definition: Function effectively within nursing and inter-professional teams, fostering open communication, mutual respect, and shared decision-making to achieve quality patient care.",Teamwork and Collaboration Definition,Skills,Integrate the contributions of others who play a role in helping patient/family achieve health goals,integrate the contributions of others who play a role in helping patient family achieve health goals,"L71: 2.6c; O71: 2.9c; AB71: 6.1c; AC71: 6.2a, 6.2e; AD71: 6.3a, 6.3b; AE71: 6.4b, 6.4d",2.6c; 2.9c; 6.1c; 6.2a; 6.2e; 6.3a; 6.3b; 6.4b; 6.4d,9,0
QSEN_0067,Prelicensure Workbook.xlsx,Entry Level,72,"Teamwork and Collaboration Definition: Function effectively within nursing and inter-professional teams, fostering open communication, mutual respect, and shared decision-making to achieve quality patient care.",Teamwork and Collaboration Definition,Skills,"Communicate with team members, adapting own style of communicating to needs of the team and situation**",communicate with team members adapting own style of communicating to needs of the team and situation,"O72: 2.9b; AB72: 6.1b, 6.1e; AE72: 6.4a; AO72: 9.2g; AP72: 9.3f; AV72: 10.3f",2.9b; 6.1b; 6.1e; 6.4a; 9.2g; 9.3f; 10.3f,7,0
QSEN_0068,Prelicensure Workbook.xlsx,Entry Level,73,"Teamwork and Collaboration Definition: Function effectively within nursing and inter-professional teams, fostering open communication, mutual respect, and shared decision-making to achieve quality patient care.",Teamwork and Collaboration Definition,Skills,Demonstrate commitment to team goals,demonstrate commitment to team goals,AD73: 6.3a; AE73: 6.4d,6.3a; 6.4d,2,0
QSEN_0069,Prelicensure Workbook.xlsx,Entry Level,74,"Teamwork and Collaboration Definition: Function effectively within nursing and inter-professional teams, fostering open communication, mutual respect, and shared decision-making to achieve quality patient care.",Teamwork and Collaboration Definition,Skills,"Solicit input from other team members to improve individual, as well as team, performance**",solicit input from other team members to improve individual as well as team performance,"O74: 2.9b; AB74: 6.1b, 6.1c; AC74: 6.2a, 6.2d, 6.2f; AO74: 9.2g; AU74: 10.2b",2.9b; 6.1b; 6.1c; 6.2a; 6.2d; 6.2f; 9.2g; 10.2b,8,0
QSEN_0070,Prelicensure Workbook.xlsx,Entry Level,75,"Teamwork and Collaboration Definition: Function effectively within nursing and inter-professional teams, fostering open communication, mutual respect, and shared decision-making to achieve quality patient care.",Teamwork and Collaboration Definition,Skills,Initiate actions to resolve conflict**,initiate actions to resolve conflict,AB75: 6.1b; AC75: 6.2a; AE75: 6.4c; AP75: 9.3f,6.1b; 6.2a; 6.4c; 9.3f,4,0
QSEN_0071,Prelicensure Workbook.xlsx,Entry Level,76,"Teamwork and Collaboration Definition: Function effectively within nursing and inter-professional teams, fostering open communication, mutual respect, and shared decision-making to achieve quality patient care.",Teamwork and Collaboration Definition,Skills,Follow communication practices that minimize risks associated with handoffs among providers and across transitions in care**,follow communication practices that minimize risks associated with handoffs among providers and across transitions in care,I76: 2.3g; L76: 2.6b; O76: 2.9b; AB76: 6.1e; AC76: 6.2e; AD76: 6.3c; AL76: 8.4b; AO76: 9.2g,2.3g; 2.6b; 2.9b; 6.1e; 6.2e; 6.3c; 8.4b; 9.2g,8,0
QSEN_0072,Prelicensure Workbook.xlsx,Entry Level,77,"Teamwork and Collaboration Definition: Function effectively within nursing and inter-professional teams, fostering open communication, mutual respect, and shared decision-making to achieve quality patient care.",Teamwork and Collaboration Definition,Skills,Assert own position/perspective in discussions about patient care,assert own position perspective in discussions about patient care,D77: 1.1d; AB77: 6.1e; AC77: 6.2d,1.1d; 6.1e; 6.2d,3,0
QSEN_0073,Prelicensure Workbook.xlsx,Entry Level,78,"Teamwork and Collaboration Definition: Function effectively within nursing and inter-professional teams, fostering open communication, mutual respect, and shared decision-making to achieve quality patient care.",Teamwork and Collaboration Definition,Skills,Choose communication styles that diminish the risks associated with authority gradients among team members**,choose communication styles that diminish the risks associated with authority gradients among team members,L78: 2.6b; O78: 2.9b; AB78: 6.1b; AD78: 6.3c; AE78: 6.4a; AO78: 9.2g; AP78: 9.3f,2.6b; 2.9b; 6.1b; 6.3c; 6.4a; 9.2g; 9.3f,7,0
QSEN_0074,Prelicensure Workbook.xlsx,Entry Level,79,"Teamwork and Collaboration Definition: Function effectively within nursing and inter-professional teams, fostering open communication, mutual respect, and shared decision-making to achieve quality patient care.",Teamwork and Collaboration Definition,Skills,Participate in designing systems that support effective teamwork,participate in designing systems that support effective teamwork,"L79: 2.6b; O79: 2.9b; AC79: 6.2a, 6.2e; AG79: 7.2f; AI79: 8.1f",2.6b; 2.9b; 6.2a; 6.2e; 7.2f; 8.1f,6,0
QSEN_0075,Prelicensure Workbook.xlsx,Entry Level,80,"Teamwork and Collaboration Definition: Function effectively within nursing and inter-professional teams, fostering open communication, mutual respect, and shared decision-making to achieve quality patient care.",Teamwork and Collaboration Definition,Skills,Communicate respect for team member competence in communication.,communicate respect for team member competence in communication,AE80: 6.4b,6.4b,1,0
QSEN_0076,Prelicensure Workbook.xlsx,Entry Level,81,"Teamwork and Collaboration Definition: Function effectively within nursing and inter-professional teams, fostering open communication, mutual respect, and shared decision-making to achieve quality patient care.",Teamwork and Collaboration Definition,Attitudes,Acknowledge own potential to contribute [contributions] to effective [or ineffective] team functioning**,acknowledge own potential to contribute contributions to effective or ineffective team functioning,"D81: 1.1d; AC81: 6.2a, 6.2c, 6.2d",1.1d; 6.2a; 6.2c; 6.2d,4,0
QSEN_0077,Prelicensure Workbook.xlsx,Entry Level,82,"Teamwork and Collaboration Definition: Function effectively within nursing and inter-professional teams, fostering open communication, mutual respect, and shared decision-making to achieve quality patient care.",Teamwork and Collaboration Definition,Attitudes,Appreciate importance of intra- and inter-professional collaboration**,appreciate importance of intra and inter professional collaboration,"L82: 2.6b; AC82: 6.2d, 6.2e; AE82: 6.4b; AP82: 9.3f",2.6b; 6.2d; 6.2e; 6.4b; 9.3f,5,0
QSEN_0078,Prelicensure Workbook.xlsx,Entry Level,83,"Teamwork and Collaboration Definition: Function effectively within nursing and inter-professional teams, fostering open communication, mutual respect, and shared decision-making to achieve quality patient care.",Teamwork and Collaboration Definition,Attitudes,Value the perspectives and expertise of all health team members,value the perspectives and expertise of all health team members,F83: 1.3c; AC83: 6.2a; AE83: 6.4b; AP83: 9.3f,1.3c; 6.2a; 6.4b; 9.3f,4,0
QSEN_0079,Prelicensure Workbook.xlsx,Entry Level,84,"Teamwork and Collaboration Definition: Function effectively within nursing and inter-professional teams, fostering open communication, mutual respect, and shared decision-making to achieve quality patient care.",Teamwork and Collaboration Definition,Attitudes,Respect the centrality of the patient/family as core members of any health care team**,respect the centrality of the patient family as core members of any health care team,G84: 2.1c; O84: 2.9c; AB84: 6.1c; AE84: 6.4d,2.1c; 2.9c; 6.1c; 6.4d,4,0
QSEN_0080,Prelicensure Workbook.xlsx,Entry Level,85,"Teamwork and Collaboration Definition: Function effectively within nursing and inter-professional teams, fostering open communication, mutual respect, and shared decision-making to achieve quality patient care.",Teamwork and Collaboration Definition,Attitudes,"Respect the unique attributes that members bring to a team, including variations in professional orientations [,competencies,] and accountabilities**",respect the unique attributes that members bring to a team including variations in professional orientations competencies and accountabilities,"AC85: 6.2a, 6.2d; AD85: 6.3a, 6.3b; AE85: 6.4a, 6.4b; AP85: 9.3f",6.2a; 6.2d; 6.3a; 6.3b; 6.4a; 6.4b; 9.3f,7,0
QSEN_0081,Prelicensure Workbook.xlsx,Entry Level,86,"Teamwork and Collaboration Definition: Function effectively within nursing and inter-professional teams, fostering open communication, mutual respect, and shared decision-making to achieve quality patient care.",Teamwork and Collaboration Definition,Attitudes,Value teamwork and the relationships upon which it is based,value teamwork and the relationships upon which it is based,"K86: 2.5a; AC86: 6.2a; AD86: 6.3a, 6.3b; AP86: 9.3f",2.5a; 6.2a; 6.3a; 6.3b; 9.3f,5,0
QSEN_0082,Prelicensure Workbook.xlsx,Entry Level,87,"Teamwork and Collaboration Definition: Function effectively within nursing and inter-professional teams, fostering open communication, mutual respect, and shared decision-making to achieve quality patient care.",Teamwork and Collaboration Definition,Attitudes,"Value different styles of communication used by patients, families and health care providers**",value different styles of communication used by patients families and health care providers,"I87: 2.3g; AB87: 6.1b, 6.1c; AP87: 9.3f",2.3g; 6.1b; 6.1c; 9.3f,4,0
QSEN_0083,Prelicensure Workbook.xlsx,Entry Level,88,"Teamwork and Collaboration Definition: Function effectively within nursing and inter-professional teams, fostering open communication, mutual respect, and shared decision-making to achieve quality patient care.",Teamwork and Collaboration Definition,Attitudes,Contribute to resolution of conflict and disagreement,contribute to resolution of conflict and disagreement,AB88: 6.1b; AE88: 6.4c; AP88: 9.3f,6.1b; 6.4c; 9.3f,3,0
QSEN_0084,Prelicensure Workbook.xlsx,Entry Level,89,"Teamwork and Collaboration Definition: Function effectively within nursing and inter-professional teams, fostering open communication, mutual respect, and shared decision-making to achieve quality patient care.",Teamwork and Collaboration Definition,Attitudes,Appreciate the risks associated with handoffs among providers and across transitions in care**,appreciate the risks associated with handoffs among providers and across transitions in care,L89: 2.6b; O89: 2.9b; AB89: 6.1e; AC89: 6.2a; AD89: 6.3c; AL89: 8.4b,2.6b; 2.9b; 6.1e; 6.2a; 6.3c; 8.4b,6,0
QSEN_0085,Prelicensure Workbook.xlsx,Entry Level,90,"Teamwork and Collaboration Definition: Function effectively within nursing and inter-professional teams, fostering open communication, mutual respect, and shared decision-making to achieve quality patient care.",Teamwork and Collaboration Definition,Attitudes,Value the influence of system solutions in achieving effective team functioning**,value the influence of system solutions in achieving effective team functioning,"L90: 2.6b; O90: 2.9b; AC90: 6.2a, 6.2e",2.6b; 2.9b; 6.2a; 6.2e,4,0
QSEN_0086,Prelicensure Workbook.xlsx,Entry Level,91,"Teamwork and Collaboration Definition: Function effectively within nursing and inter-professional teams, fostering open communication, mutual respect, and shared decision-making to achieve quality patient care.",Teamwork and Collaboration Definition,Attitudes,Value collaboration with nurses and other members of the nursing team,value collaboration with nurses and other members of the nursing team,AE91: 6.4b,6.4b,1,0
QSEN_0087,Prelicensure Workbook.xlsx,Entry Level,92,Evidence-Based Practice Definition: Integrate best current evidence with clinical expertise and patient/family preferences and values for delivery of optimal health care.,Evidence-Based Practice Definition,Knowledge,Demonstrate knowledge of basic scientific [health research] methods and processes **,demonstrate knowledge of basic scientific health research methods and processes,"D92: 1.1b; V92: 4.1a, 4.1d; X92: 4.3a",1.1b; 4.1a; 4.1d; 4.3a,4,0
QSEN_0088,Prelicensure Workbook.xlsx,Entry Level,93,Evidence-Based Practice Definition: Integrate best current evidence with clinical expertise and patient/family preferences and values for delivery of optimal health care.,Evidence-Based Practice Definition,Knowledge,"Describe EBP to include the components of research evidence, clinical expertise and patient/family values.**",describe ebp to include the components of research evidence clinical expertise and patient family values,"V93: 4.1a, 4.1b; AH93: 7.3a",4.1a; 4.1b; 7.3a,3,0
QSEN_0089,Prelicensure Workbook.xlsx,Entry Level,94,Evidence-Based Practice Definition: Integrate best current evidence with clinical expertise and patient/family preferences and values for delivery of optimal health care.,Evidence-Based Practice Definition,Knowledge,Differentiate clinical opinion from research and evidence summaries,differentiate clinical opinion from research and evidence summaries,"E94: 1.2a; K94: 2.5c; V94: 4.1a, 4.1b; W94: 4.2b",1.2a; 2.5c; 4.1a; 4.1b; 4.2b,5,0
QSEN_0090,Prelicensure Workbook.xlsx,Entry Level,95,Evidence-Based Practice Definition: Integrate best current evidence with clinical expertise and patient/family preferences and values for delivery of optimal health care.,Evidence-Based Practice Definition,Knowledge,Describe reliable sources for locating evidence reports and clinical practice guidelines,describe reliable sources for locating evidence reports and clinical practice guidelines,E95: 1.2a; K95: 2.5c; P95: 3.1d; V95: 4.1b; W95: 4.2b,1.2a; 2.5c; 3.1d; 4.1b; 4.2b,5,0
QSEN_0091,Prelicensure Workbook.xlsx,Entry Level,96,Evidence-Based Practice Definition: Integrate best current evidence with clinical expertise and patient/family preferences and values for delivery of optimal health care.,Evidence-Based Practice Definition,Knowledge,Explain the role of evidence in determining best clinical practice,explain the role of evidence in determining best clinical practice,"E96: 1.2a; K96: 2.5c, 2.5f; V96: 4.1b; Y96: 5.1c, 5.1f; AH96: 7.3a",1.2a; 2.5c; 2.5f; 4.1b; 5.1c; 5.1f; 7.3a,7,0
QSEN_0092,Prelicensure Workbook.xlsx,Entry Level,97,Evidence-Based Practice Definition: Integrate best current evidence with clinical expertise and patient/family preferences and values for delivery of optimal health care.,Evidence-Based Practice Definition,Knowledge,Describe how the strength and relevance of available evidence influences the choice of interventions in provision of patient-centered care,describe how the strength and relevance of available evidence influences the choice of interventions in provision of patient centered care,"E97: 1.2a; K97: 2.5d, 2.5f; V97: 4.1a; Y97: 5.1c; AH97: 7.3a",1.2a; 2.5d; 2.5f; 4.1a; 5.1c; 7.3a,6,0
QSEN_0093,Prelicensure Workbook.xlsx,Entry Level,98,Evidence-Based Practice Definition: Integrate best current evidence with clinical expertise and patient/family preferences and values for delivery of optimal health care.,Evidence-Based Practice Definition,Knowledge,Discriminate between valid and invalid reasons for modifying evidence-based clinical practice based on clinical expertise or patient/family preferences,discriminate between valid and invalid reasons for modifying evidence based clinical practice based on clinical expertise or patient family preferences,"K98: 2.5f; M98: 2.7b, 2.7c; V98: 4.1b; W98: 4.2c; AH98: 7.3a; AM98: 8.5e",2.5f; 2.7b; 2.7c; 4.1b; 4.2c; 7.3a; 8.5e,7,0
QSEN_0094,Prelicensure Workbook.xlsx,Entry Level,99,Evidence-Based Practice Definition: Integrate best current evidence with clinical expertise and patient/family preferences and values for delivery of optimal health care.,Evidence-Based Practice Definition,Knowledge,Identify principles that comprise the critical appraisal of research evidence.,identify principles that comprise the critical appraisal of research evidence,V99: 4.1f,4.1f,1,0
QSEN_0095,Prelicensure Workbook.xlsx,Entry Level,100,Evidence-Based Practice Definition: Integrate best current evidence with clinical expertise and patient/family preferences and values for delivery of optimal health care.,Evidence-Based Practice Definition,Knowledge,"Analyze how the strength of available evidence influences the provision of care (assessment, diagnosis, treatment and evaluation)",analyze how the strength of available evidence influences the provision of care assessment diagnosis treatment and evaluation,W100: 4.2b,4.2b,1,0
QSEN_0096,Prelicensure Workbook.xlsx,Entry Level,101,Evidence-Based Practice Definition: Integrate best current evidence with clinical expertise and patient/family preferences and values for delivery of optimal health care.,Evidence-Based Practice Definition,Knowledge,Evaluate organizational cultures and structures that promote evidence-based practice,evaluate organizational cultures and structures that promote evidence based practice,AH101: 7.3c,7.3c,1,0
QSEN_0097,Prelicensure Workbook.xlsx,Entry Level,102,Evidence-Based Practice Definition: Integrate best current evidence with clinical expertise and patient/family preferences and values for delivery of optimal health care.,Evidence-Based Practice Definition,Skills,Participate effectively in appropriate data collection and other research activities,participate effectively in appropriate data collection and other research activities,"V102: 4.1d, 4.1f",4.1d; 4.1f,2,0
QSEN_0098,Prelicensure Workbook.xlsx,Entry Level,103,Evidence-Based Practice Definition: Integrate best current evidence with clinical expertise and patient/family preferences and values for delivery of optimal health care.,Evidence-Based Practice Definition,Skills,Adhere to Institutional Review Board (IRB) guidelines**,adhere to institutional review board irb guidelines,V103: 4.1d; X103: 4.3b; AP103: 9.3c,4.1d; 4.3b; 9.3c,3,0
QSEN_0099,Prelicensure Workbook.xlsx,Entry Level,104,Evidence-Based Practice Definition: Integrate best current evidence with clinical expertise and patient/family preferences and values for delivery of optimal health care.,Evidence-Based Practice Definition,Skills,"Base individualized care plan on patient values, clinical expertise and evidence",base individualized care plan on patient values clinical expertise and evidence,"K104: 2.5c, 2.5d; L104: 2.6a; Y104: 5.1c; AM104: 8.5e",2.5c; 2.5d; 2.6a; 5.1c; 8.5e,5,0
QSEN_0100,Prelicensure Workbook.xlsx,Entry Level,105,Evidence-Based Practice Definition: Integrate best current evidence with clinical expertise and patient/family preferences and values for delivery of optimal health care.,Evidence-Based Practice Definition,Skills,Read [Critically appraise] original research and evidence reports related to area of practice **,read critically appraise original research and evidence reports related to area of practice,"D105: 1.1b; E105: 1.2b; K105: 2.5c; V105: 4.1e, 4.1f; AU105: 10.2d",1.1b; 1.2b; 2.5c; 4.1e; 4.1f; 10.2d,6,0
QSEN_0101,Prelicensure Workbook.xlsx,Entry Level,106,Evidence-Based Practice Definition: Integrate best current evidence with clinical expertise and patient/family preferences and values for delivery of optimal health care.,Evidence-Based Practice Definition,Skills,Locate evidence reports related to clinical practice topics and guidelines,locate evidence reports related to clinical practice topics and guidelines,"D106: 1.1b; K106: 2.5c, 2.5d; L106: 2.6a; V106: 4.1e, 4.1f",1.1b; 2.5c; 2.5d; 2.6a; 4.1e; 4.1f,6,0
QSEN_0102,Prelicensure Workbook.xlsx,Entry Level,107,Evidence-Based Practice Definition: Integrate best current evidence with clinical expertise and patient/family preferences and values for delivery of optimal health care.,Evidence-Based Practice Definition,Skills,Participate in structuring the work environment to facilitate integration of new evidence into standards of practice,participate in structuring the work environment to facilitate integration of new evidence into standards of practice,"M107: 2.7c; V107: 4.1b; W107: 4.2c, 4.2d; Y107: 5.1c; AH107: 7.3a",2.7c; 4.1b; 4.2c; 4.2d; 5.1c; 7.3a,6,0
QSEN_0103,Prelicensure Workbook.xlsx,Entry Level,108,Evidence-Based Practice Definition: Integrate best current evidence with clinical expertise and patient/family preferences and values for delivery of optimal health care.,Evidence-Based Practice Definition,Skills,Question rationale for routine approaches to care that result in less-than desired outcomes or adverse events,question rationale for routine approaches to care that result in less than desired outcomes or adverse events,"E108: 1.2b; K108: 2.5d, 2.5e, 2.5f; V108: 4.1b, 4.1e; W108: 4.2a, 4.2c, 4.2d; AH108: 7.3b",1.2b; 2.5d; 2.5e; 2.5f; 4.1b; 4.1e; 4.2a; 4.2c; 4.2d; 7.3b,10,0
QSEN_0104,Prelicensure Workbook.xlsx,Entry Level,109,Evidence-Based Practice Definition: Integrate best current evidence with clinical expertise and patient/family preferences and values for delivery of optimal health care.,Evidence-Based Practice Definition,Skills,Consult with clinical experts before deciding to deviate from evidence-based protocols,consult with clinical experts before deciding to deviate from evidence based protocols,"M109: 2.7b, 2.7c; O109: 2.9d; V109: 4.1b; W109: 4.2c; Y109: 5.1c; AU109: 10.2e",2.7b; 2.7c; 2.9d; 4.1b; 4.2c; 5.1c; 10.2e,7,0
QSEN_0105,Prelicensure Workbook.xlsx,Entry Level,110,Evidence-Based Practice Definition: Integrate best current evidence with clinical expertise and patient/family preferences and values for delivery of optimal health care.,Evidence-Based Practice Definition,Skills,Initiate changes in approaches to care when new evidence warrants evaluation of other options for improving outcomes or decreasing adverse events,initiate changes in approaches to care when new evidence warrants evaluation of other options for improving outcomes or decreasing adverse events,K110: 2.5c,2.5c,1,0
QSEN_0106,Prelicensure Workbook.xlsx,Entry Level,111,Evidence-Based Practice Definition: Integrate best current evidence with clinical expertise and patient/family preferences and values for delivery of optimal health care.,Evidence-Based Practice Definition,Skills,"Role model clinical decision making based on evidence, clinical expertise and patient/family preferences and values",role model clinical decision making based on evidence clinical expertise and patient family preferences and values,F111: 1.3b,1.3b,1,0
QSEN_0107,Prelicensure Workbook.xlsx,Entry Level,112,Evidence-Based Practice Definition: Integrate best current evidence with clinical expertise and patient/family preferences and values for delivery of optimal health care.,Evidence-Based Practice Definition,Attitudes,Appreciate strengths and weaknesses of scientific bases for practice**,appreciate strengths and weaknesses of scientific bases for practice,"D112: 1.1b; K112: 2.5f; V112: 4.1a, 4.1b, 4.1d, 4.1f; AM112: 8.5e",1.1b; 2.5f; 4.1a; 4.1b; 4.1d; 4.1f; 8.5e,7,0
QSEN_0108,Prelicensure Workbook.xlsx,Entry Level,113,Evidence-Based Practice Definition: Integrate best current evidence with clinical expertise and patient/family preferences and values for delivery of optimal health care.,Evidence-Based Practice Definition,Attitudes,Value the need for ethical conduct of research and quality improvement**,value the need for ethical conduct of research and quality improvement,"V113: 4.1b, 4.1d; X113: 4.3a, 4.3b, 4.3c; AN113: 9.1a",4.1b; 4.1d; 4.3a; 4.3b; 4.3c; 9.1a,6,0
QSEN_0109,Prelicensure Workbook.xlsx,Entry Level,114,Evidence-Based Practice Definition: Integrate best current evidence with clinical expertise and patient/family preferences and values for delivery of optimal health care.,Evidence-Based Practice Definition,Attitudes,Value the concept of EBP as integral to determining best clinical practice,value the concept of ebp as integral to determining best clinical practice,"K114: 2.5c, 2.5d; V114: 4.1b; Y114: 5.1c",2.5c; 2.5d; 4.1b; 5.1c,4,0
QSEN_0110,Prelicensure Workbook.xlsx,Entry Level,115,Evidence-Based Practice Definition: Integrate best current evidence with clinical expertise and patient/family preferences and values for delivery of optimal health care.,Evidence-Based Practice Definition,Attitudes,Appreciate the importance of regularly reading relevant professional journals,appreciate the importance of regularly reading relevant professional journals,"D115: 1.1b; K115: 2.5c; V115: 4.1e, 4.1f; AU115: 10.2c, 10.2d",1.1b; 2.5c; 4.1e; 4.1f; 10.2c; 10.2d,6,0
QSEN_0111,Prelicensure Workbook.xlsx,Entry Level,116,Evidence-Based Practice Definition: Integrate best current evidence with clinical expertise and patient/family preferences and values for delivery of optimal health care.,Evidence-Based Practice Definition,Attitudes,Value the need for continuous improvement in clinical practice based on new knowledge**,value the need for continuous improvement in clinical practice based on new knowledge,"K116: 2.5d; M116: 2.7c; W116: 4.2a, 4.2c, 4.2d, 4.2e; Y116: 5.1a; AU116: 10.2c, 10.2d",2.5d; 2.7c; 4.2a; 4.2c; 4.2d; 4.2e; 5.1a; 10.2c; 10.2d,9,0
QSEN_0112,Prelicensure Workbook.xlsx,Entry Level,117,Evidence-Based Practice Definition: Integrate best current evidence with clinical expertise and patient/family preferences and values for delivery of optimal health care.,Evidence-Based Practice Definition,Attitudes,Acknowledge own limitations in knowledge and clinical expertise before determining when to deviate from evidence-based best practices**,acknowledge own limitations in knowledge and clinical expertise before determining when to deviate from evidence based best practices,F117: 1.3c; O117: 2.9d; V117: 4.1b; W117: 4.2c; Y117: 5.1c; AH117: 7.3a,1.3c; 2.9d; 4.1b; 4.2c; 5.1c; 7.3a,6,0
